stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
59446,59446,Pie-IX / Parc Pilon,45.594562,-73.641414,https://www.stm.info/fr/recherche#stq=59446,0,,1
55315,55315,Langelier / Léger,45.623444,-73.621310,https://www.stm.info/fr/recherche#stq=55315,0,,1
55316,55316,Gouin / des Laurentides,45.591570,-73.649264,https://www.stm.info/fr/recherche#stq=55316,0,,1
55317,55317,Gouin / No 6700,45.626073,-73.623482,https://www.stm.info/fr/recherche#stq=55317,0,,1
55318,55318,Marie-Victorin / Albert-Hudon,45.615934,-73.609522,https://www.stm.info/fr/recherche#stq=55318,0,,1
55319,55319,Rolland / Dijon,45.611263,-73.614980,https://www.stm.info/fr/recherche#stq=55319,0,,1
55320,55320,Rolland / Dijon,45.611397,-73.615296,https://www.stm.info/fr/recherche#stq=55320,0,,2
55321,55321,Rolland / Marie-Victorin,45.612321,-73.616109,https://www.stm.info/fr/recherche#stq=55321,0,,2
55322,55322,Rolland / Marie-Victorin,45.612443,-73.616417,https://www.stm.info/fr/recherche#stq=55322,0,,1
55323,55323,Rolland / Matte,45.613415,-73.617455,https://www.stm.info/fr/recherche#stq=55323,0,,1
55324,55324,Lacordaire / des Narcisses,45.607102,-73.620618,https://www.stm.info/fr/recherche#stq=55324,0,,1
55325,55325,Henri-Bourassa / Léger,45.600302,-73.638577,https://www.stm.info/fr/recherche#stq=55325,0,,1
55329,55329,Léger / Langelier,45.622917,-73.623107,https://www.stm.info/fr/recherche#stq=55329,0,,1
55330,55330,Jean-Meunier / d'Amos,45.603836,-73.622023,https://www.stm.info/fr/recherche#stq=55330,0,,1
55331,55331,Gouin / De Belleville,45.589960,-73.650755,https://www.stm.info/fr/recherche#stq=55331,0,,1
55332,55332,Gouin / No 3591,45.591838,-73.649180,https://www.stm.info/fr/recherche#stq=55332,0,,1
55333,55333,Saint-Michel / Henri-Bourassa,45.583717,-73.649799,https://www.stm.info/fr/recherche#stq=55333,0,,1
55334,55334,Saint-Michel / Henri-Bourassa,45.584434,-73.650933,https://www.stm.info/fr/recherche#stq=55334,0,,1
55335,55335,Saint-Michel / Henri-Bourassa,45.583451,-73.649796,https://www.stm.info/fr/recherche#stq=55335,0,,1
59461,59461,Henri-Bourassa / No 6100,45.608116,-73.615312,https://www.stm.info/fr/recherche#stq=59461,0,,1
59462,59462,Henri-Bourassa / No 6085,45.608504,-73.614901,https://www.stm.info/fr/recherche#stq=59462,0,,1
60307,60307,Léger / Lacordaire,45.615352,-73.630175,https://www.stm.info/fr/recherche#stq=60307,0,,1
60310,60310,Maurice-Duplessis / Lacordaire,45.611869,-73.624840,https://www.stm.info/fr/recherche#stq=60310,0,,1
60326,60326,d'Amos / Arthur-Buies,45.605260,-73.619739,https://www.stm.info/fr/recherche#stq=60326,0,,1
60386,60386,Langelier / Léger,45.623933,-73.621826,https://www.stm.info/fr/recherche#stq=60386,0,,1
60433,60433,Gouin / Cadieux,45.585420,-73.651661,https://www.stm.info/fr/recherche#stq=60433,0,,1
60476,60476,Pascal-Gagnon / Place Pascal-Gagnon,45.611429,-73.603505,https://www.stm.info/fr/recherche#stq=60476,0,,1
60482,60482,d'Amiens / Hôtel-de-Ville,45.590088,-73.633604,https://www.stm.info/fr/recherche#stq=60482,0,,1
60487,60487,Pascal-Gagnon / Place Pascal-Gagnon,45.611073,-73.603185,https://www.stm.info/fr/recherche#stq=60487,0,,1
60505,60505,Saint-Michel / Henri-Bourassa,45.583953,-73.650596,https://www.stm.info/fr/recherche#stq=60505,0,,1
60507,60507,Marie-Victorin / Albert-Hudon,45.615616,-73.609878,https://www.stm.info/fr/recherche#stq=60507,0,,1
60514,60514,Albert-Hudon / Marie-Victorin,45.615607,-73.609396,https://www.stm.info/fr/recherche#stq=60514,0,,1
60539,60539,Maurice-Duplessis / Hurteau,45.614459,-73.619852,https://www.stm.info/fr/recherche#stq=60539,0,,1
55031,55031,Gouin / Mackay,45.586029,-73.651614,https://www.stm.info/fr/recherche#stq=55031,0,,1
55337,55337,Saint-Vital / Henri-Bourassa,45.590448,-73.646553,https://www.stm.info/fr/recherche#stq=55337,0,,1
